,character1,star1,star_id1,character2,star2,star_id2,age_gap,genders,question,score
217,the Malibu Police Chief,Leon Russom,169920,Bunny,Tara Reid,1234,34,"[2, 1]",has sex with,0.0006606573588214815
218,The Dude,Jeff Bridges,1229,Maude,Julianne Moore,1231,11,"[2, 1]",marries,0.00722461985424161
219,Maude Lebowski,Julianne Moore,1231,Dude,Jeff Bridges,1229,11,"[1, 2]",marries,0.0002478086098562926
220,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",marries,0.001216435106471181
221,Jackie Treehorn,Ben Gazzara,856,Maude,Julianne Moore,1231,30,"[2, 1]",marries,0.0035011209547519684
222,the Malibu Police Chief,Leon Russom,169920,Dude,Jeff Bridges,1229,8,"[2, 2]",marries,9.930266242008656e-05
223,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",is in love with,0.0015256425831466913
224,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",is in love with,0.004456820897758007
225,Jackie Treehorn,Ben Gazzara,856,Bunny,Tara Reid,1234,45,"[2, 1]",is in love with,0.2400757521390915
226,Treehorn's thugs,Mark Pellegrino,1236,Bunny,Tara Reid,1234,10,"[2, 1]",is in love with,0.002247333526611328
227,the Malibu Police Chief,Leon Russom,169920,Bunny,Tara Reid,1234,34,"[2, 1]",is in love with,0.0018355845240876079
228,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",is in couple with,0.13661693036556244
229,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",is in couple with,0.013644821010529995
230,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",is in couple with,0.02633291482925415
231,Jackie Treehorn,Ben Gazzara,856,Bunny,Tara Reid,1234,45,"[2, 1]",is in couple with,0.3738318085670471
232,Treehorn's thugs,Mark Pellegrino,1236,Bunny,Tara Reid,1234,10,"[2, 1]",is in couple with,0.001694715698249638
233,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",is the father of,0.008827119134366512
234,Maude Lebowski,Julianne Moore,1231,Dude,Jeff Bridges,1229,11,"[1, 2]",is the father of,0.033663369715213776
235,Bunny Lebowski,Tara Reid,1234,Dude,Jeff Bridges,1229,26,"[1, 2]",is the father of,0.04062870144844055
236,Jackie Treehorn,Ben Gazzara,856,Dude,Jeff Bridges,1229,19,"[2, 2]",is the father of,0.10877373814582825
237,the Malibu Police Chief,Leon Russom,169920,Dude,Jeff Bridges,1229,8,"[2, 2]",is the father of,0.02142530307173729
238,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",is the mother of,0.14537109434604645
239,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",is the mother of,0.004319641273468733
240,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",is the mother of,0.016087371855974197
241,Jackie Treehorn,Ben Gazzara,856,Bunny,Tara Reid,1234,45,"[2, 1]",is the mother of,0.22381287813186646
242,Treehorn's thugs,Mark Pellegrino,1236,Bunny,Tara Reid,1234,10,"[2, 1]",is the mother of,0.0017550034681335092
243,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",kisses,0.0013229266041889787
244,Walter Sobchak,John Goodman,1230,Larry Sellers,Jesse Flanagan,1667649,30,"[2, 2]",kisses,5.857751148141688e-06
245,Maude Lebowski,Julianne Moore,1231,Walter,John Goodman,1230,8,"[1, 2]",kisses,1.6380268789362162e-05
246,The Big,David Huddleston,1232,Walter,John Goodman,1230,22,"[2, 2]",kisses,0.0029485258273780346
247,The Stranger,Sam Elliott,16431,Walter,John Goodman,1230,8,"[2, 2]",kisses,0.0002886983857024461
248,Arthur Digby Sellers,Harry Bugin,4510,Walter,John Goodman,1230,23,"[0, 2]",kisses,0.0001097095591831021
249,the Malibu Police Chief,Leon Russom,169920,Walter,John Goodman,1230,11,"[2, 2]",kisses,6.502123142126948e-05
250,Larry Sellers,Jesse Flanagan,1667649,Walter,John Goodman,1230,30,"[2, 2]",kisses,0.0001612849155208096
251,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",sleeps with,0.012144980952143669
252,Walter Sobchak,John Goodman,1230,Maude,Julianne Moore,1231,8,"[2, 1]",sleeps with,6.546849181177095e-05
253,Maude Lebowski,Julianne Moore,1231,The Dude,Jeff Bridges,1229,11,"[1, 2]",sleeps with,9.677992784418166e-05
254,The Big,David Huddleston,1232,Walter,John Goodman,1230,22,"[2, 2]",sleeps with,0.017256665974855423
255,The Stranger,Sam Elliott,16431,Walter,John Goodman,1230,8,"[2, 2]",sleeps with,0.0027589399833232164
256,Arthur Digby Sellers,Harry Bugin,4510,Walter,John Goodman,1230,23,"[0, 2]",sleeps with,3.05671856040135e-05
257,the Malibu Police Chief,Leon Russom,169920,Walter,John Goodman,1230,11,"[2, 2]",sleeps with,0.00010782455501612276
258,Larry Sellers,Jesse Flanagan,1667649,Walter,John Goodman,1230,30,"[2, 2]",sleeps with,0.00033178896410390735
259,The Dude,Jeff Bridges,1229,Maude,Julianne Moore,1231,11,"[2, 1]",goes on a date with,0.4505068063735962
260,Walter Sobchak,John Goodman,1230,Maude,Julianne Moore,1231,8,"[2, 1]",goes on a date with,0.011682843789458275
261,Maude Lebowski,Julianne Moore,1231,The Dude,Jeff Bridges,1229,11,"[1, 2]",goes on a date with,0.020570050925016403
262,The Big,David Huddleston,1232,Maude,Julianne Moore,1231,30,"[2, 1]",goes on a date with,0.1522330790758133
263,The Stranger,Sam Elliott,16431,Maude,Julianne Moore,1231,16,"[2, 1]",goes on a date with,0.006148149725049734
264,Arthur Digby Sellers,Harry Bugin,4510,Walter,John Goodman,1230,23,"[0, 2]",goes on a date with,0.0004939131904393435
265,the Malibu Police Chief,Leon Russom,169920,Maude,Julianne Moore,1231,19,"[2, 1]",goes on a date with,0.00295417383313179
266,Larry Sellers,Jesse Flanagan,1667649,Walter,John Goodman,1230,30,"[2, 2]",goes on a date with,0.0037225147243589163
267,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",has sex with,0.031172014772892
268,Walter Sobchak,John Goodman,1230,Maude,Julianne Moore,1231,8,"[2, 1]",has sex with,6.665904948022217e-05
269,Maude Lebowski,Julianne Moore,1231,The Dude,Jeff Bridges,1229,11,"[1, 2]",has sex with,0.00029544770950451493
270,The Big,David Huddleston,1232,Walter,John Goodman,1230,22,"[2, 2]",has sex with,0.027581719681620598
271,The Stranger,Sam Elliott,16431,Walter,John Goodman,1230,8,"[2, 2]",has sex with,0.003863648045808077
272,Arthur Digby Sellers,Harry Bugin,4510,Walter,John Goodman,1230,23,"[0, 2]",has sex with,0.0001960212830454111
273,the Malibu Police Chief,Leon Russom,169920,Walter,John Goodman,1230,11,"[2, 2]",has sex with,0.00026726233772933483
274,Larry Sellers,Jesse Flanagan,1667649,Walter,John Goodman,1230,30,"[2, 2]",has sex with,0.0015084802871569991
275,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",marries,0.011196711100637913
276,Walter Sobchak,John Goodman,1230,Larry Sellers,Jesse Flanagan,1667649,30,"[2, 2]",marries,1.4281968105933629e-05
277,Maude Lebowski,Julianne Moore,1231,Walter,John Goodman,1230,8,"[1, 2]",marries,2.1783172996947542e-05
278,The Big,David Huddleston,1232,Walter,John Goodman,1230,22,"[2, 2]",marries,0.01464433316141367
279,The Stranger,Sam Elliott,16431,Walter,John Goodman,1230,8,"[2, 2]",marries,0.0027073596138507128
280,Arthur Digby Sellers,Harry Bugin,4510,Walter,John Goodman,1230,23,"[0, 2]",marries,2.2680354959447868e-05
281,the Malibu Police Chief,Leon Russom,169920,Walter,John Goodman,1230,11,"[2, 2]",marries,0.0001007027312880382
282,Larry Sellers,Jesse Flanagan,1667649,Walter,John Goodman,1230,30,"[2, 2]",marries,0.0006618508487008512
283,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",is in love with,0.03465671464800835
284,Walter Sobchak,John Goodman,1230,Maude,Julianne Moore,1231,8,"[2, 1]",is in love with,0.0003526071668602526
285,Maude Lebowski,Julianne Moore,1231,Dude,Jeff Bridges,1229,11,"[1, 2]",is in love with,0.00014337037282530218
286,The Big,David Huddleston,1232,Walter,John Goodman,1230,22,"[2, 2]",is in love with,0.04197164997458458
287,The Stranger,Sam Elliott,16431,Walter,John Goodman,1230,8,"[2, 2]",is in love with,0.010069803334772587
288,Arthur Digby Sellers,Harry Bugin,4510,Walter,John Goodman,1230,23,"[0, 2]",is in love with,0.00046484783524647355
289,the Malibu Police Chief,Leon Russom,169920,Walter,John Goodman,1230,11,"[2, 2]",is in love with,0.0005439755623228848
290,Larry Sellers,Jesse Flanagan,1667649,Walter,John Goodman,1230,30,"[2, 2]",is in love with,0.0015715938061475754
291,The Dude,Jeff Bridges,1229,Maude,Julianne Moore,1231,11,"[2, 1]",is in couple with,0.046179819852113724
292,Walter Sobchak,John Goodman,1230,Maude,Julianne Moore,1231,8,"[2, 1]",is in couple with,0.0010177093790844083
293,Maude Lebowski,Julianne Moore,1231,Walter,John Goodman,1230,8,"[1, 2]",is in couple with,0.00033898584661073983
294,The Big,David Huddleston,1232,Walter,John Goodman,1230,22,"[2, 2]",is in couple with,0.04143211618065834
295,The Stranger,Sam Elliott,16431,Walter,John Goodman,1230,8,"[2, 2]",is in couple with,0.0038471685256808996
296,Arthur Digby Sellers,Harry Bugin,4510,Walter,John Goodman,1230,23,"[0, 2]",is in couple with,0.00033256105962209404
297,the Malibu Police Chief,Leon Russom,169920,Maude,Julianne Moore,1231,19,"[2, 1]",is in couple with,0.00028884553466923535
298,Larry Sellers,Jesse Flanagan,1667649,Walter,John Goodman,1230,30,"[2, 2]",is in couple with,0.0006922981119714677
299,The Dude,Jeff Bridges,1229,Larry Sellers,Jesse Flanagan,1667649,33,"[2, 2]",is the father of,0.40373340249061584
300,Walter Sobchak,John Goodman,1230,Larry Sellers,Jesse Flanagan,1667649,30,"[2, 2]",is the father of,0.20223765075206757
301,Maude Lebowski,Julianne Moore,1231,Larry Sellers,Jesse Flanagan,1667649,22,"[1, 2]",is the father of,0.04490293189883232
302,The Big,David Huddleston,1232,Larry Sellers,Jesse Flanagan,1667649,52,"[2, 2]",is the father of,0.3454550504684448
303,The Stranger,Sam Elliott,16431,Larry Sellers,Jesse Flanagan,1667649,38,"[2, 2]",is the father of,0.12672299146652222
304,Arthur Digby Sellers,Harry Bugin,4510,Larry Sellers,Jesse Flanagan,1667649,53,"[0, 2]",is the father of,0.011552182026207447
305,the Malibu Police Chief,Leon Russom,169920,Larry Sellers,Jesse Flanagan,1667649,41,"[2, 2]",is the father of,0.04051940143108368
306,Larry Sellers,Jesse Flanagan,1667649,Walter,John Goodman,1230,30,"[2, 2]",is the father of,0.22396321594715118
307,The Dude,Jeff Bridges,1229,Maude,Julianne Moore,1231,11,"[2, 1]",is the mother of,0.6473472118377686
308,Walter Sobchak,John Goodman,1230,Maude,Julianne Moore,1231,8,"[2, 1]",is the mother of,0.01760719157755375
309,Maude Lebowski,Julianne Moore,1231,Larry Sellers,Jesse Flanagan,1667649,22,"[1, 2]",is the mother of,0.0013478373875841498
310,The Big,David Huddleston,1232,Maude,Julianne Moore,1231,30,"[2, 1]",is the mother of,0.4488241672515869
311,The Stranger,Sam Elliott,16431,Maude,Julianne Moore,1231,16,"[2, 1]",is the mother of,0.014527421444654465
312,Arthur Digby Sellers,Harry Bugin,4510,Maude,Julianne Moore,1231,31,"[0, 1]",is the mother of,0.011267931200563908
313,the Malibu Police Chief,Leon Russom,169920,Maude,Julianne Moore,1231,19,"[2, 1]",is the mother of,0.025349918752908707
314,Larry Sellers,Jesse Flanagan,1667649,Maude,Julianne Moore,1231,22,"[2, 1]",is the mother of,0.06499523669481277
315,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",kisses,0.0014867838472127914
316,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",kisses,3.761069820029661e-06
317,The Big,David Huddleston,1232,Bunny,Tara Reid,1234,45,"[2, 1]",kisses,0.000501931004691869
318,Bunny Lebowski,Tara Reid,1234,Dude,Jeff Bridges,1229,26,"[1, 2]",kisses,0.0001252198708243668
319,The Stranger,Sam Elliott,16431,Bunny,Tara Reid,1234,31,"[2, 1]",kisses,2.732438406383153e-05
320,Jackie Treehorn,Ben Gazzara,856,Dude,Jeff Bridges,1229,19,"[2, 2]",kisses,3.4370079902146244e-06
321,Treehorn's thugs,Mark Pellegrino,1236,Dude,Jeff Bridges,1229,16,"[2, 2]",kisses,1.0367355116613908e-06
322,Arthur Digby Sellers,Harry Bugin,4510,Bunny,Tara Reid,1234,46,"[0, 1]",kisses,1.0896960702666547e-06
323,the Malibu Police Chief,Leon Russom,169920,Dude,Jeff Bridges,1229,8,"[2, 2]",kisses,2.9949344337865114e-08
324,Larry Sellers,Jesse Flanagan,1667649,Bunny,Tara Reid,1234,7,"[2, 1]",kisses,1.6022366253309883e-05
325,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",sleeps with,0.006292277947068214
326,Maude Lebowski,Julianne Moore,1231,Dude,Jeff Bridges,1229,11,"[1, 2]",sleeps with,8.980516213341616e-06
327,The Big,David Huddleston,1232,Bunny,Tara Reid,1234,45,"[2, 1]",sleeps with,0.001241647987626493
328,Bunny Lebowski,Tara Reid,1234,Dude,Jeff Bridges,1229,26,"[1, 2]",sleeps with,0.0025391995441168547
329,The Stranger,Sam Elliott,16431,Larry Sellers,Jesse Flanagan,1667649,38,"[2, 2]",sleeps with,3.779561666306108e-05
330,Jackie Treehorn,Ben Gazzara,856,Dude,Jeff Bridges,1229,19,"[2, 2]",sleeps with,0.00032959322561509907
331,Treehorn's thugs,Mark Pellegrino,1236,Dude,Jeff Bridges,1229,16,"[2, 2]",sleeps with,0.0007483806693926454
332,Arthur Digby Sellers,Harry Bugin,4510,Bunny,Tara Reid,1234,46,"[0, 1]",sleeps with,3.296086788395769e-06
333,the Malibu Police Chief,Leon Russom,169920,Dude,Jeff Bridges,1229,8,"[2, 2]",sleeps with,3.393954102648422e-06
334,Larry Sellers,Jesse Flanagan,1667649,Bunny,Tara Reid,1234,7,"[2, 1]",sleeps with,0.0006374910590238869
335,The Dude,Jeff Bridges,1229,Maude,Julianne Moore,1231,11,"[2, 1]",goes on a date with,0.03665613383054733
336,Maude Lebowski,Julianne Moore,1231,Dude,Jeff Bridges,1229,11,"[1, 2]",goes on a date with,0.00027458928525447845
337,The Big,David Huddleston,1232,Dude,Jeff Bridges,1229,19,"[2, 2]",goes on a date with,0.021135056391358376
338,Bunny Lebowski,Tara Reid,1234,Dude,Jeff Bridges,1229,26,"[1, 2]",goes on a date with,0.04180474951863289
339,The Stranger,Sam Elliott,16431,Dude,Jeff Bridges,1229,5,"[2, 2]",goes on a date with,3.943540286854841e-05
340,Jackie Treehorn,Ben Gazzara,856,Dude,Jeff Bridges,1229,19,"[2, 2]",goes on a date with,0.026476768776774406
341,Arthur Digby Sellers,Harry Bugin,4510,Dude,Jeff Bridges,1229,20,"[0, 2]",goes on a date with,8.963863365352154e-05
342,the Malibu Police Chief,Leon Russom,169920,Dude,Jeff Bridges,1229,8,"[2, 2]",goes on a date with,0.00011088549945270643
343,Larry Sellers,Jesse Flanagan,1667649,Dude,Jeff Bridges,1229,33,"[2, 2]",goes on a date with,0.0011210395023226738
344,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",has sex with,0.010500808246433735
345,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",has sex with,2.1133979316800833e-05
346,The Big,David Huddleston,1232,Bunny,Tara Reid,1234,45,"[2, 1]",has sex with,0.0017660761950537562
347,Bunny Lebowski,Tara Reid,1234,Dude,Jeff Bridges,1229,26,"[1, 2]",has sex with,0.0045906309969723225
348,The Stranger,Sam Elliott,16431,Larry Sellers,Jesse Flanagan,1667649,38,"[2, 2]",has sex with,6.630652933381498e-05
349,Jackie Treehorn,Ben Gazzara,856,Dude,Jeff Bridges,1229,19,"[2, 2]",has sex with,0.0005845179548487067
350,Treehorn's thugs,Mark Pellegrino,1236,Dude,Jeff Bridges,1229,16,"[2, 2]",has sex with,0.0014251378597691655
351,Arthur Digby Sellers,Harry Bugin,4510,Bunny,Tara Reid,1234,46,"[0, 1]",has sex with,1.7597969417693093e-05
352,the Malibu Police Chief,Leon Russom,169920,Dude,Jeff Bridges,1229,8,"[2, 2]",has sex with,2.394944658590248e-06
353,Larry Sellers,Jesse Flanagan,1667649,Bunny,Tara Reid,1234,7,"[2, 1]",has sex with,0.0015921398298814893
354,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",marries,0.0009138363529928029
355,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",marries,2.6796369638759643e-06
356,The Big,David Huddleston,1232,Larry Sellers,Jesse Flanagan,1667649,52,"[2, 2]",marries,0.0003231269074603915
357,Bunny Lebowski,Tara Reid,1234,Larry Sellers,Jesse Flanagan,1667649,7,"[1, 2]",marries,0.000125139529700391
358,The Stranger,Sam Elliott,16431,Larry Sellers,Jesse Flanagan,1667649,38,"[2, 2]",marries,9.359069736092351e-06
359,Jackie Treehorn,Ben Gazzara,856,Dude,Jeff Bridges,1229,19,"[2, 2]",marries,1.6198564480873756e-05
360,Treehorn's thugs,Mark Pellegrino,1236,Dude,Jeff Bridges,1229,16,"[2, 2]",marries,1.059718124452047e-05
361,Arthur Digby Sellers,Harry Bugin,4510,Larry Sellers,Jesse Flanagan,1667649,53,"[0, 2]",marries,5.408922788774362e-06
362,the Malibu Police Chief,Leon Russom,169920,Bunny,Tara Reid,1234,34,"[2, 1]",marries,2.939960808134856e-08
363,Larry Sellers,Jesse Flanagan,1667649,Bunny,Tara Reid,1234,7,"[2, 1]",marries,3.7059128317196155e-06
364,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",is in love with,0.011397444643080235
365,Maude Lebowski,Julianne Moore,1231,Dude,Jeff Bridges,1229,11,"[1, 2]",is in love with,7.373563857981935e-05
366,The Big,David Huddleston,1232,Dude,Jeff Bridges,1229,19,"[2, 2]",is in love with,0.00355386920273304
367,Bunny Lebowski,Tara Reid,1234,Dude,Jeff Bridges,1229,26,"[1, 2]",is in love with,0.011050540022552013
368,The Stranger,Sam Elliott,16431,Bunny,Tara Reid,1234,31,"[2, 1]",is in love with,6.46483531454578e-05
369,Jackie Treehorn,Ben Gazzara,856,Dude,Jeff Bridges,1229,19,"[2, 2]",is in love with,0.00047176401130855083
370,Treehorn's thugs,Mark Pellegrino,1236,Dude,Jeff Bridges,1229,16,"[2, 2]",is in love with,0.0015679451171308756
371,Arthur Digby Sellers,Harry Bugin,4510,Dude,Jeff Bridges,1229,20,"[0, 2]",is in love with,3.6407138850336196e-06
372,the Malibu Police Chief,Leon Russom,169920,Dude,Jeff Bridges,1229,8,"[2, 2]",is in love with,2.2475028345070314e-06
373,Larry Sellers,Jesse Flanagan,1667649,Bunny,Tara Reid,1234,7,"[2, 1]",is in love with,0.0002522904542274773
374,The Dude,Jeff Bridges,1229,Maude,Julianne Moore,1231,11,"[2, 1]",is in couple with,0.06847703456878662
375,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",is in couple with,0.00017266659415327013
376,The Big,David Huddleston,1232,Larry Sellers,Jesse Flanagan,1667649,52,"[2, 2]",is in couple with,0.009352602995932102
377,Bunny Lebowski,Tara Reid,1234,Larry Sellers,Jesse Flanagan,1667649,7,"[1, 2]",is in couple with,0.0013705517631024122
378,The Stranger,Sam Elliott,16431,Larry Sellers,Jesse Flanagan,1667649,38,"[2, 2]",is in couple with,0.00029470756999216974
379,Jackie Treehorn,Ben Gazzara,856,Bunny,Tara Reid,1234,45,"[2, 1]",is in couple with,0.00047006874228827655
380,Treehorn's thugs,Mark Pellegrino,1236,Dude,Jeff Bridges,1229,16,"[2, 2]",is in couple with,0.015574036166071892
381,Arthur Digby Sellers,Harry Bugin,4510,Bunny,Tara Reid,1234,46,"[0, 1]",is in couple with,0.00022891255503054708
382,the Malibu Police Chief,Leon Russom,169920,Bunny,Tara Reid,1234,34,"[2, 1]",is in couple with,2.7300655347062275e-05
383,Larry Sellers,Jesse Flanagan,1667649,Bunny,Tara Reid,1234,7,"[2, 1]",is in couple with,0.008331166580319405
384,The Dude,Jeff Bridges,1229,Larry Sellers,Jesse Flanagan,1667649,33,"[2, 2]",is the father of,0.07382218539714813
385,Maude Lebowski,Julianne Moore,1231,Larry Sellers,Jesse Flanagan,1667649,22,"[1, 2]",is the father of,0.0018392078345641494
386,The Big,David Huddleston,1232,Larry Sellers,Jesse Flanagan,1667649,52,"[2, 2]",is the father of,0.04249422624707222
387,Bunny Lebowski,Tara Reid,1234,Larry Sellers,Jesse Flanagan,1667649,7,"[1, 2]",is the father of,0.015143037773668766
388,The Stranger,Sam Elliott,16431,Larry Sellers,Jesse Flanagan,1667649,38,"[2, 2]",is the father of,0.0045669968239963055
389,Jackie Treehorn,Ben Gazzara,856,Larry Sellers,Jesse Flanagan,1667649,52,"[2, 2]",is the father of,0.0007336176931858063
390,Treehorn's thugs,Mark Pellegrino,1236,Jackie,Ben Gazzara,856,35,"[2, 2]",is the father of,3.283388650743291e-05
391,Arthur Digby Sellers,Harry Bugin,4510,Larry,Jesse Flanagan,1667649,53,"[0, 2]",is the father of,0.005069655366241932
392,Larry Sellers,Jesse Flanagan,1667649,Jackie Treehorn,Ben Gazzara,856,52,"[2, 2]",is the father of,2.6270006856066175e-05
393,The Dude,Jeff Bridges,1229,Bunny,Tara Reid,1234,26,"[2, 1]",is the mother of,0.05927528068423271
394,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",is the mother of,0.0006854631938040257
395,The Big,David Huddleston,1232,Bunny,Tara Reid,1234,45,"[2, 1]",is the mother of,0.017535919323563576
396,Bunny Lebowski,Tara Reid,1234,Jackie Treehorn,Ben Gazzara,856,45,"[1, 2]",is the mother of,0.0005857066134922206
397,The Stranger,Sam Elliott,16431,Bunny,Tara Reid,1234,31,"[2, 1]",is the mother of,0.0006059209699742496
398,Jackie Treehorn,Ben Gazzara,856,Bunny,Tara Reid,1234,45,"[2, 1]",is the mother of,0.0026102468837052584
399,Treehorn's thugs,Mark Pellegrino,1236,Jackie,Ben Gazzara,856,35,"[2, 2]",is the mother of,0.00199985783547163
400,Arthur Digby Sellers,Harry Bugin,4510,Bunny,Tara Reid,1234,46,"[0, 1]",is the mother of,0.0014110130723565817
401,the Malibu Police Chief,Leon Russom,169920,Bunny,Tara Reid,1234,34,"[2, 1]",is the mother of,2.9139114303688984e-06
402,Larry Sellers,Jesse Flanagan,1667649,Bunny,Tara Reid,1234,7,"[2, 1]",is the mother of,0.006036759354174137
403,The Dude,Jeff Bridges,1229,Maude,Julianne Moore,1231,11,"[2, 1]",kisses,0.058477867394685745
404,Walter Sobchak,John Goodman,1230,Maude,Julianne Moore,1231,8,"[2, 1]",kisses,0.00018587979138828814
405,Maude Lebowski,Julianne Moore,1231,The Dude,Jeff Bridges,1229,11,"[1, 2]",kisses,0.0060991402715444565
406,The Big,David Huddleston,1232,Maude,Julianne Moore,1231,30,"[2, 1]",kisses,0.012384758330881596
407,Bunny Lebowski,Tara Reid,1234,Walter,John Goodman,1230,23,"[1, 2]",kisses,0.0007285719620995224
408,The Stranger,Sam Elliott,16431,Maude,Julianne Moore,1231,16,"[2, 1]",kisses,0.0022806418128311634
409,the Malibu Police Chief,Leon Russom,169920,Maude,Julianne Moore,1231,19,"[2, 1]",kisses,7.784987974446267e-05
410,The Dude,Jeff Bridges,1229,Maude,Julianne Moore,1231,11,"[2, 1]",sleeps with,0.09441851079463959
411,Walter Sobchak,John Goodman,1230,Maude,Julianne Moore,1231,8,"[2, 1]",sleeps with,0.00016820215387269855
412,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",sleeps with,0.001896498491987586
413,The Big,David Huddleston,1232,Maude,Julianne Moore,1231,30,"[2, 1]",sleeps with,0.03012475185096264
414,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",sleeps with,0.0002003477275138721
415,The Stranger,Sam Elliott,16431,Maude,Julianne Moore,1231,16,"[2, 1]",sleeps with,0.007769650314003229
416,the Malibu Police Chief,Leon Russom,169920,Maude,Julianne Moore,1231,19,"[2, 1]",sleeps with,0.00039696769090369344
417,The Dude,Jeff Bridges,1229,Maude,Julianne Moore,1231,11,"[2, 1]",goes on a date with,0.6424052715301514
418,Walter Sobchak,John Goodman,1230,Maude,Julianne Moore,1231,8,"[2, 1]",goes on a date with,0.0020320385228842497
419,Maude Lebowski,Julianne Moore,1231,The Dude,Jeff Bridges,1229,11,"[1, 2]",goes on a date with,0.07058342546224594
420,The Big,David Huddleston,1232,Maude,Julianne Moore,1231,30,"[2, 1]",goes on a date with,0.11996275931596756
421,Bunny Lebowski,Tara Reid,1234,Walter,John Goodman,1230,23,"[1, 2]",goes on a date with,0.00976446270942688
422,The Stranger,Sam Elliott,16431,Maude,Julianne Moore,1231,16,"[2, 1]",goes on a date with,0.015798339620232582
423,the Malibu Police Chief,Leon Russom,169920,The Dude,Jeff Bridges,1229,8,"[2, 2]",goes on a date with,0.0024752458557486534
424,The Dude,Jeff Bridges,1229,Maude,Julianne Moore,1231,11,"[2, 1]",has sex with,0.9641138315200806
425,Walter Sobchak,John Goodman,1230,Maude,Julianne Moore,1231,8,"[2, 1]",has sex with,0.00019744515884667635
426,Maude Lebowski,Julianne Moore,1231,The Dude,Jeff Bridges,1229,11,"[1, 2]",has sex with,0.05787060409784317
427,The Big,David Huddleston,1232,Maude,Julianne Moore,1231,30,"[2, 1]",has sex with,0.4251385033130646
428,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",has sex with,0.002291213721036911
429,The Stranger,Sam Elliott,16431,Maude,Julianne Moore,1231,16,"[2, 1]",has sex with,0.017368437722325325
430,the Malibu Police Chief,Leon Russom,169920,Maude,Julianne Moore,1231,19,"[2, 1]",has sex with,0.006860268767923117
431,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",marries,0.014002756215631962
432,Walter Sobchak,John Goodman,1230,Dude,Jeff Bridges,1229,3,"[2, 2]",marries,5.854765549884178e-05
433,Maude Lebowski,Julianne Moore,1231,The Dude,Jeff Bridges,1229,11,"[1, 2]",marries,0.004895808175206184
434,The Big,David Huddleston,1232,Dude,Jeff Bridges,1229,19,"[2, 2]",marries,0.00115890521556139
435,Bunny Lebowski,Tara Reid,1234,Walter,John Goodman,1230,23,"[1, 2]",marries,0.0014381668297573924
436,The Stranger,Sam Elliott,16431,Maude,Julianne Moore,1231,16,"[2, 1]",marries,0.00025764922611415386
437,the Malibu Police Chief,Leon Russom,169920,Dude,Jeff Bridges,1229,8,"[2, 2]",marries,5.425812923931517e-05
438,The Dude,Jeff Bridges,1229,Maude,Julianne Moore,1231,11,"[2, 1]",is in love with,0.6085063815116882
439,Walter Sobchak,John Goodman,1230,Maude,Julianne Moore,1231,8,"[2, 1]",is in love with,0.000572714488953352
440,Maude Lebowski,Julianne Moore,1231,The Dude,Jeff Bridges,1229,11,"[1, 2]",is in love with,0.049358069896698
441,The Big,David Huddleston,1232,Maude,Julianne Moore,1231,30,"[2, 1]",is in love with,0.06776194274425507
